"name","numberOfCores","memoryInMB","cpuArchitecture","gpUs","gpuType","gpuRam","linuxPrice"
"Standard_M832ids_16_v3",832,15200,"x64",0,"","","172.0488"
"Standard_M832is_16_v3",832,15200,"x64",0,"","","163.8560"
"Standard_M832ds_12_v3",832,11400,"x64",0,"","","116.5060"
"Standard_M624ds_12_v3",624,11400,"x64",0,"","","116.1329"
"Standard_M416ds_12_v3",416,11400,"x64",0,"","","116.0520"
"Standard_M832s_12_v3",832,11400,"x64",0,"","","110.9581"
"Standard_M624s_12_v3",624,11400,"x64",0,"","","110.6028"
"Standard_M416s_12_v3",416,11400,"x64",0,"","","110.5800"
"Standard_M416ms_v2",416,11400,"x64",0,"","","99.1500"
"Standard_M416-208ms_v2",208,11400,"x64",0,"","","99.1500"
"Standard_ND96isr_H100_v5",96,1900,"x64",8,"NVIDIA H100",80,"98.3200"
"Standard_M416ds_10_v3",416,9496,"x64",0,"","","96.7367"
"Standard_M416s_10_v3",416,9496,"x64",0,"","","92.4261"
"Standard_M416ds_9_v3",416,8568,"x64",0,"","","87.2831"
"Standard_M416s_9_v3",416,8568,"x64",0,"","","83.1267"
"Standard_M416s_10_v2",416,9496,"x64",0,"","","82.6400"
"Standard_M416ds_8_v3",416,7600,"x64",0,"","","77.4220"
"Standard_M416s_9_v2",416,8568,"x64",0,"","","74.5400"
"Standard_M416s_8_v3",416,7600,"x64",0,"","","73.7352"
"Standard_M416s_8_v2",416,7600,"x64",0,"","","66.1100"
"Standard_M176bds_4_v3",176,3892,"x64",0,"","","62.8300"
"Standard_M176-88bds_4_v3",88,3892,"x64",0,"","","62.8300"
"Standard_M416ds_6_v3",416,5696,"x64",0,"","","58.0665"
"Standard_M416s_6_v3",416,5696,"x64",0,"","","55.3014"
"Standard_M416s_v2",416,5700,"x64",0,"","","49.5800"
"Standard_M416-208s_v2",208,5700,"x64",0,"","","49.5800"
"Standard_M416bs_v3",416,3800,"x64",0,"","","48.1400"
"Standard_M128bds_3_v3",128,2794,"x64",0,"","","45.9600"
"Standard_M128-64bds_3_v3",64,2794,"x64",0,"","","45.9600"
"Standard_M208ms_v2",208,5700,"x64",0,"","","44.6200"
"Standard_M96bds_2_v3",96,1946,"x64",0,"","","34.4700"
"Standard_M96-48bds_2_v3",48,1946,"x64",0,"","","34.4700"
"Standard_ND96amsr_A100_v4",96,1800,"x64",8,"NVIDIA A100 (80GB)",80,"32.7700"
"Standard_M192idms_v2",192,4096,"x64",0,"","","32.0640"
"Standard_M192ims_v2",192,4096,"x64",0,"","","31.6430"
"Standard_ND96asr_v4",96,900,"x64",8,"NVIDIA A100 (40GB)",40,"27.1970"
"Standard_M128dms_v2",128,3892,"x64",0,"","","26.6900"
"Standard_M128ms",128,3892,"x64",0,"","","26.6880"
"Standard_M128m",128,3892,"x64",0,"","","26.6880"
"Standard_M128-64ms",64,3892,"x64",0,"","","26.6880"
"Standard_M128-32ms",32,3892,"x64",0,"","","26.6880"
"Standard_M176ds_4_v3",176,3892,"x64",0,"","","26.4700"
"Standard_M128ms_v2",128,3892,"x64",0,"","","26.2690"
"Standard_M176s_4_v3",176,3892,"x64",0,"","","24.9100"
"Standard_M64bds_1_v3",64,1397,"x64",0,"","","22.9800"
"Standard_M64-32bds_1_v3",32,1397,"x64",0,"","","22.9800"
"Standard_M208s_v2",208,2850,"x64",0,"","","22.3100"
"Standard_ND40rs_v2",40,672,"x64",8,"NVIDIA Tesla V100",32,"22.0320"
"Standard_E192ds_v7",192,1536,"x64",0,"","","19.9580"
"Standard_HB368rs_v5",368,448,"x64",0,"","","19.8000"
"Standard_HB368-96rs_v5",96,448,"x64",0,"","","19.8000"
"Standard_HB368-48rs_v5",48,448,"x64",0,"","","19.8000"
"Standard_HB368-336rs_v5",336,448,"x64",0,"","","19.8000"
"Standard_HB368-288rs_v5",288,448,"x64",0,"","","19.8000"
"Standard_HB368-240rs_v5",240,448,"x64",0,"","","19.8000"
"Standard_HB368-192rs_v5",192,448,"x64",0,"","","19.8000"
"Standard_HB368-144rs_v5",144,448,"x64",0,"","","19.8000"
"Standard_M176ds_3_v3",176,2794,"x64",0,"","","19.0000"
"Standard_M176s_3_v3",176,2794,"x64",0,"","","17.8800"
"Standard_E192ids_v6",192,1832,"x64",0,"","","17.2680"
"Standard_E192s_v7",192,1536,"x64",0,"","","16.6710"
"Standard_M176bds_v3",176,1536,"x64",0,"","","16.1100"
"Standard_M176-88bds_v3",88,1536,"x64",0,"","","16.1100"
"Standard_M192ids_v2",192,2048,"x64",0,"","","16.0320"
"Standard_D192ds_v7",192,768,"x64",0,"","","15.6630"
"Standard_M192is_v2",192,2048,"x64",0,"","","15.6110"
"Standard_M176bs_v3",176,1536,"x64",0,"","","15.3400"
"Standard_M176-88bs_v3",88,1536,"x64",0,"","","15.3400"
"Standard_NC96ads_A100_v4",96,880,"x64",4,"NVIDIA A100",80,"14.6920"
"Standard_E192is_v6",192,1832,"x64",0,"","","13.9710"
"Standard_NC80adis_H100_v5",80,640,"x64",2,"NVIDIA H100",94,"13.9600"
"Standard_NC24rs_v3",24,448,"x64",4,"NVIDIA Tesla V100",16,"13.4600"
"Standard_M128ds_v2",128,2048,"x64",0,"","","13.3400"
"Standard_M128s",128,2048,"x64",0,"","","13.3380"
"Standard_M128",128,2048,"x64",0,"","","13.3380"
"Standard_E128ds_v7",128,1024,"x64",0,"","","13.3060"
"Standard_D192lds_v7",192,384,"x64",0,"","","13.3060"
"Standard_M96ds_2_v3",96,1946,"x64",0,"","","13.2300"
"Standard_FX96mds_v2",96,1832,"x64",0,"","","13.1300"
"Standard_FX96-48mds_v2",48,1832,"x64",0,"","","13.1300"
"Standard_FX96-24mds_v2",24,1832,"x64",0,"","","13.1300"
"Standard_M128s_v2",128,2048,"x64",0,"","","12.9190"
"Standard_D192s_v7",192,768,"x64",0,"","","12.7010"
"Standard_E128nds_v6",128,1024,"x64",0,"","","12.5050"
"Standard_M96s_2_v3",96,1946,"x64",0,"","","12.4500"
"Standard_NC24s_v3",24,448,"x64",4,"NVIDIA Tesla V100",16,"12.2400"
"Standard_D192ds_v6",192,768,"x64",0,"","","11.9600"
"Standard_M128bds_v3",128,1024,"x64",0,"","","11.7100"
"Standard_M128-64bds_v3",64,1024,"x64",0,"","","11.7100"
"Standard_E160ads_v7",160,1280,"x64",0,"","","11.6160"
"Standard_D192ls_v7",192,384,"x64",0,"","","11.2450"
"Standard_M128bs_v3",128,1024,"x64",0,"","","11.1600"
"Standard_M128-64bs_v3",64,1024,"x64",0,"","","11.1600"
"Standard_E128ns_v6",128,1024,"x64",0,"","","11.1570"
"Standard_E128s_v7",128,1024,"x64",0,"","","11.1140"
"Standard_NC288lds_xl_RTXPRO6000BSE_v6",288,516,"x64",2,"","","11.0000"
"Standard_NC288ds_xl_RTXPRO6000BSE_v6",288,1032,"x64",2,"","","11.0000"
"Standard_E96ads_v5",96,672,"x64",0,"","","10.7040"
"Standard_FX96ms_v2",96,1832,"x64",0,"","","10.6230"
"Standard_FX96-48ms_v2",48,1832,"x64",0,"","","10.6230"
"Standard_FX96-24ms_v2",24,1832,"x64",0,"","","10.6230"
"Standard_E128ds_v6",128,1024,"x64",0,"","","10.4650"
"Standard_E128-64ds_v6",64,1024,"x64",0,"","","10.4650"
"Standard_E128-32ds_v6",32,1024,"x64",0,"","","10.4650"
"Standard_D128ds_v7",128,512,"x64",0,"","","10.4420"
"Standard_M64dms_v2",64,1792,"x64",0,"","","10.3400"
"Standard_M64ms",64,1792,"x64",0,"","","10.3370"
"Standard_M64m",64,1792,"x64",0,"","","10.3370"
"Standard_M64-32ms",32,1792,"x64",0,"","","10.3370"
"Standard_M64-16ms",16,1792,"x64",0,"","","10.3370"
"Standard_E112ibds_v5",112,672,"x64",0,"","","10.2870"
"Standard_D128nds_v6",128,512,"x64",0,"","","10.1840"
"Standard_M64ms_v2",64,1792,"x64",0,"","","10.1300"
"Standard_E96ds_v7",96,768,"x64",0,"","","9.9790"
"Standard_M96ds_1_v3",96,974,"x64",0,"","","9.9300"
"Standard_E96as_v5",96,672,"x64",0,"","","9.8400"
"Standard_E96-24as_v5",24,672,"x64",0,"","","9.8400"
"Standard_D192s_v6",192,768,"x64",0,"","","9.6770"
"Standard_E160as_v7",160,1280,"x64",0,"","","9.5360"
"Standard_E96nds_v6",96,768,"x64",0,"","","9.3790"
"Standard_M96s_1_v3",96,974,"x64",0,"","","9.3400"
"Standard_E128ads_v7",128,1024,"x64",0,"","","9.2930"
"Standard_E128-64ads_v7",64,1024,"x64",0,"","","9.2930"
"Standard_E128-32ads_v7",32,1024,"x64",0,"","","9.2930"
"Standard_E112ibs_v5",112,672,"x64",0,"","","9.1780"
"Standard_D160ads_v7",160,640,"x64",0,"","","9.1200"
"Standard_D128nlds_v6",128,256,"x64",0,"","","8.9630"
"Standard_D128ns_v6",128,512,"x64",0,"","","8.9110"
"Standard_D128lds_v7",128,256,"x64",0,"","","8.8700"
"Standard_M96bds_v3",96,768,"x64",0,"","","8.7900"
"Standard_FX64mds_v2",64,1344,"x64",0,"","","8.7530"
"Standard_FX64-32mds_v2",32,1344,"x64",0,"","","8.7530"
"Standard_FX64-16mds_v2",16,1344,"x64",0,"","","8.7530"
"Standard_F80amds_v7",80,640,"x64",0,"","","8.7220"
"Standard_HX176rs",176,1408,"x64",0,"","","8.6400"
"Standard_HX176-96rs",96,1408,"x64",0,"","","8.6400"
"Standard_HX176-48rs",48,1408,"x64",0,"","","8.6400"
"Standard_HX176-24rs",24,1408,"x64",0,"","","8.6400"
"Standard_HX176-144rs",144,1408,"x64",0,"","","8.6400"
"Standard_E128s_v6",128,1024,"x64",0,"","","8.4670"
"Standard_E128-64s_v6",64,1024,"x64",0,"","","8.4670"
"Standard_E128-32s_v6",32,1024,"x64",0,"","","8.4670"
"Standard_D128s_v7",128,512,"x64",0,"","","8.4670"
"Standard_M96bs_v3",96,768,"x64",0,"","","8.3700"
"Standard_E96ns_v6",96,768,"x64",0,"","","8.3680"
"Standard_L96s_v4",96,768,"x64",0,"","","8.3520"
"Standard_E96s_v7",96,768,"x64",0,"","","8.3360"
"Standard_L96as_v4",96,768,"x64",0,"","","8.2560"
"Standard_E104ids_v5",104,672,"x64",0,"","","8.2370"
"Standard_E104id_v5",104,672,"x64",0,"","","8.2370"
"Standard_E112iads_v5",112,672,"x64",0,"","","8.0700"
"Standard_E96bds_v5",96,672,"x64",0,"","","8.0160"
"Standard_DC128eds_v6",128,512,"x64",0,"","","7.9730"
"Standard_D128ds_v6",128,512,"x64",0,"","","7.9730"
"Standard_E96ds_v6",96,768,"x64",0,"","","7.8490"
"Standard_E96-48ds_v6",48,768,"x64",0,"","","7.8490"
"Standard_E96-24ds_v6",24,768,"x64",0,"","","7.8490"
"Standard_D96ds_v7",96,384,"x64",0,"","","7.8320"
"Standard_D96nds_v6",96,384,"x64",0,"","","7.6380"
"Standard_E128as_v7",128,1024,"x64",0,"","","7.6290"
"Standard_E128-64as_v7",64,1024,"x64",0,"","","7.6290"
"Standard_E128-32as_v7",32,1024,"x64",0,"","","7.6290"
"Standard_D160alds_v7",160,320,"x64",0,"","","7.6160"
"Standard_D128ls_v7",128,256,"x64",0,"","","7.4970"
"Standard_NC48ads_A100_v4",48,440,"x64",2,"NVIDIA A100",80,"7.3460"
"Standard_D128ads_v7",128,512,"x64",0,"","","7.2960"
"Standard_D160as_v7",160,640,"x64",0,"","","7.2640"
"Standard_D128nls_v6",128,256,"x64",0,"","","7.2580"
"Standard_E104is_v5",104,672,"x64",0,"","","7.2070"
"Standard_E104i_v5",104,672,"x64",0,"","","7.2070"
"Standard_HB176rs_v4",176,768,"x64",0,"","","7.2000"
"Standard_HB176-96rs_v4",96,768,"x64",0,"","","7.2000"
"Standard_HB176-48rs_v4",48,768,"x64",0,"","","7.2000"
"Standard_HB176-24rs_v4",24,768,"x64",0,"","","7.2000"
"Standard_HB176-144rs_v4",144,768,"x64",0,"","","7.2000"
"Standard_F80ams_v7",80,640,"x64",0,"","","7.1600"
"Standard_E96bs_v5",96,672,"x64",0,"","","7.1520"
"Standard_E64ads_v5",64,512,"x64",0,"","","7.1360"
"Standard_E64-16ads_v5",16,512,"x64",0,"","","7.1360"
"Standard_FX64ms_v2",64,1344,"x64",0,"","","7.0820"
"Standard_FX64-32ms_v2",32,1344,"x64",0,"","","7.0820"
"Standard_FX64-16ms_v2",16,1344,"x64",0,"","","7.0820"
"Standard_D128lds_v6",128,256,"x64",0,"","","7.0600"
"Standard_NC40ads_H100_v5",40,320,"x64",1,"NVIDIA H100",94,"6.9800"
"Standard_F64amds_v7",64,512,"x64",0,"","","6.9770"
"Standard_F64-32amds_v7",32,512,"x64",0,"","","6.9770"
"Standard_F64-16amds_v7",16,512,"x64",0,"","","6.9770"
"Standard_EC96ads_v6",96,672,"x64",0,"","","6.9700"
"Standard_E96ads_v7",96,768,"x64",0,"","","6.9700"
"Standard_E96ads_v6",96,672,"x64",0,"","","6.9700"
"Standard_E96-48ads_v7",48,768,"x64",0,"","","6.9700"
"Standard_E96-48ads_v6",48,672,"x64",0,"","","6.9700"
"Standard_E96-24ads_v7",24,768,"x64",0,"","","6.9700"
"Standard_E96-24ads_v6",24,672,"x64",0,"","","6.9700"
"Standard_E112ias_v5",112,672,"x64",0,"","","6.9610"
"Standard_L80s_v4",80,640,"x64",0,"","","6.9600"
"Standard_L80s_v3",80,640,"x64",0,"","","6.9600"
"Standard_EC96iads_v5",96,672,"x64",0,"","","6.9170"
"Standard_E96ds_v5",96,672,"x64",0,"","","6.9120"
"Standard_E96d_v5",96,672,"x64",0,"","","6.9120"
"Standard_E96-48ds_v5",48,672,"x64",0,"","","6.9120"
"Standard_E96-24ds_v5",24,672,"x64",0,"","","6.9120"
"Standard_L80as_v4",80,640,"x64",0,"","","6.8800"
"Standard_F80ads_v7",80,320,"x64",0,"","","6.8600"
"Standard_D96nlds_v6",96,192,"x64",0,"","","6.7220"
"Standard_D96ns_v6",96,384,"x64",0,"","","6.6830"
"Standard_M64s",64,1024,"x64",0,"","","6.6690"
"Standard_M64ds_v2",64,1024,"x64",0,"","","6.6690"
"Standard_M64",64,1024,"x64",0,"","","6.6690"
"Standard_E64ds_v7",64,512,"x64",0,"","","6.6530"
"Standard_D96lds_v7",96,192,"x64",0,"","","6.6530"
"Standard_M48ds_1_v3",48,974,"x64",0,"","","6.6200"
"Standard_NP40s",40,672,"x64",4,"AMD Alveo U250 FPGA (64GB)",64,"6.6000"
"Standard_FX48mds_v2",48,1008,"x64",0,"","","6.5650"
"Standard_FX48-24mds_v2",24,1008,"x64",0,"","","6.5650"
"Standard_FX48-12mds_v2",12,1008,"x64",0,"","","6.5650"
"Standard_E64as_v5",64,512,"x64",0,"","","6.5600"
"Standard_E64-32as_v5",32,512,"x64",0,"","","6.5600"
"Standard_NV72ads_A10_v5",72,880,"x64",2,"NVIDIA A10 (24GB)",24,"6.5200"
"Standard_M64s_v2",64,1024,"x64",0,"","","6.4590"
"Standard_DC128es_v6",128,512,"x64",0,"","","6.4510"
"Standard_D128s_v6",128,512,"x64",0,"","","6.4510"
"Standard_D160als_v7",160,320,"x64",0,"","","6.4320"
"Standard_E96s_v6",96,768,"x64",0,"","","6.3500"
"Standard_E96-48s_v6",48,768,"x64",0,"","","6.3500"
"Standard_E96-24s_v6",24,768,"x64",0,"","","6.3500"
"Standard_D96s_v7",96,384,"x64",0,"","","6.3500"
"Standard_EC96ads_v5",96,672,"x64",0,"","","6.2880"
"Standard_EC96ads_cc_v5",96,672,"x64",0,"","","6.2880"
"Standard_E96-48ads_v5",48,672,"x64",0,"","","6.2880"
"Standard_E96-24ads_v5",24,672,"x64",0,"","","6.2880"
"Standard_E64nds_v6",64,512,"x64",0,"","","6.2520"
"Standard_L80s_v2",80,640,"x64",0,"","","6.2400"
"Standard_L80as_v3",80,640,"x64",0,"","","6.2400"
"Standard_M48s_1_v3",48,974,"x64",0,"","","6.2300"
"Standard_M32ms",32,875,"x64",0,"","","6.1460"
"Standard_M32dms_v2",32,875,"x64",0,"","","6.1460"
"Standard_M32-8ms",8,875,"x64",0,"","","6.1460"
"Standard_M32-16ms",16,875,"x64",0,"","","6.1460"
"Standard_NC12s_v3",12,224,"x64",2,"NVIDIA Tesla V100",16,"6.1200"
"Standard_D128alds_v7",128,256,"x64",0,"","","6.0930"
"Standard_E96as_v4",96,672,"x64",0,"","","6.0480"
"Standard_E96a_v4",96,672,"x64",0,"","","6.0480"
"Standard_E96-48s_v5",48,672,"x64",0,"","","6.0480"
"Standard_E96-48as_v4",48,672,"x64",0,"","","6.0480"
"Standard_E96-24s_v5",24,672,"x64",0,"","","6.0480"
"Standard_E96-24as_v4",24,672,"x64",0,"","","6.0480"
"Standard_E96_v5",96,672,"x64",0,"","","6.0480"
"Standard_M32ms_v2",32,875,"x64",0,"","","6.0410"
"Standard_DC96eds_v6",96,384,"x64",0,"","","5.9800"
"Standard_D96ds_v6",96,384,"x64",0,"","","5.9800"
"Standard_EC96ias_v5",96,672,"x64",0,"","","5.9660"
"Standard_M64bds_v3",64,512,"x64",0,"","","5.8600"
"Standard_D128as_v7",128,512,"x64",0,"","","5.8110"
"Standard_E80ids_v4",80,504,"x64",0,"","","5.7600"
"Standard_F64ams_v7",64,512,"x64",0,"","","5.7280"
"Standard_F64ams_v6",64,512,"x64",0,"","","5.7280"
"Standard_F64-32ams_v7",32,512,"x64",0,"","","5.7280"
"Standard_F64-16ams_v7",16,512,"x64",0,"","","5.7280"
"Standard_F80alds_v7",80,160,"x64",0,"","","5.7240"
"Standard_EC96as_v6",96,672,"x64",0,"","","5.7220"
"Standard_E96as_v7",96,768,"x64",0,"","","5.7220"
"Standard_E96as_v6",96,672,"x64",0,"","","5.7220"
"Standard_E96-48as_v7",48,768,"x64",0,"","","5.7220"
"Standard_E96-24as_v7",24,768,"x64",0,"","","5.7220"
"Standard_D128ls_v6",128,256,"x64",0,"","","5.7130"
"Standard_D96ls_v7",96,192,"x64",0,"","","5.6230"
"Standard_M64bs_v3",64,512,"x64",0,"","","5.5800"
"Standard_E64ns_v6",64,512,"x64",0,"","","5.5790"
"Standard_L64s_v4",64,512,"x64",0,"","","5.5680"
"Standard_L64s_v3",64,512,"x64",0,"","","5.5680"
"Standard_E64s_v7",64,512,"x64",0,"","","5.5570"
"Standard_L64as_v4",64,512,"x64",0,"","","5.5040"
"Standard_NC144ds_xl_RTXPRO6000BSE_v6",144,516,"x64",1,"","","5.5000"
"Standard_F64ads_v7",64,256,"x64",0,"","","5.4880"
"Standard_DC96ads_v6",96,384,"x64",0,"","","5.4720"
"Standard_D96ads_v7",96,384,"x64",0,"","","5.4720"
"Standard_D96ads_v6",96,384,"x64",0,"","","5.4720"
"Standard_F80as_v7",80,320,"x64",0,"","","5.4640"
"Standard_D96nls_v6",96,192,"x64",0,"","","5.4430"
"Standard_EC96as_v5",96,672,"x64",0,"","","5.4240"
"Standard_EC96as_cc_v5",96,672,"x64",0,"","","5.4240"
"Standard_E96-48as_v5",48,672,"x64",0,"","","5.4240"
"Standard_DC48ds_v3",48,384,"x64",0,"","","5.4240"
"Standard_D96ds_v5",96,384,"x64",0,"","","5.4240"
"Standard_D96d_v5",96,384,"x64",0,"","","5.4240"
"Standard_M64ls",64,512,"x64",0,"","","5.4150"
"Standard_E64bds_v5",64,512,"x64",0,"","","5.3440"
"Standard_FX48ms_v2",48,1008,"x64",0,"","","5.3120"
"Standard_FX48-24ms_v2",24,1008,"x64",0,"","","5.3120"
"Standard_FX48-12ms_v2",12,1008,"x64",0,"","","5.3120"
"Standard_D96lds_v6",96,192,"x64",0,"","","5.2950"
"Standard_F48amds_v7",48,384,"x64",0,"","","5.2330"
"Standard_EC64eds_v6",64,512,"x64",0,"","","5.2330"
"Standard_E64ds_v6",64,512,"x64",0,"","","5.2330"
"Standard_E64-32ds_v6",32,512,"x64",0,"","","5.2330"
"Standard_E64-16ds_v6",16,512,"x64",0,"","","5.2330"
"Standard_D64ds_v7",64,256,"x64",0,"","","5.2210"
"Standard_D128als_v7",128,256,"x64",0,"","","5.1460"
"Standard_D64nds_v6",64,256,"x64",0,"","","5.0920"
"Standard_E80is_v4",80,504,"x64",0,"","","5.0400"
"Standard_L64s_v2",64,512,"x64",0,"","","4.9920"
"Standard_L64as_v3",64,512,"x64",0,"","","4.9920"
"Standard_E48ds_v7",48,384,"x64",0,"","","4.9900"
"Standard_DC96ads_v5",96,384,"x64",0,"","","4.9440"
"Standard_DC96ads_cc_v5",96,384,"x64",0,"","","4.9440"
"Standard_D96ads_v5",96,384,"x64",0,"","","4.9440"
"Standard_F80als_v7",80,160,"x64",0,"","","4.8400"
"Standard_DC96es_v6",96,384,"x64",0,"","","4.8380"
"Standard_D96s_v6",96,384,"x64",0,"","","4.8380"
"Standard_E64bs_v5",64,512,"x64",0,"","","4.7680"
"Standard_E48nds_v6",48,384,"x64",0,"","","4.6890"
"Standard_EC64ads_v6",64,512,"x64",0,"","","4.6460"
"Standard_E64ads_v7",64,512,"x64",0,"","","4.6460"
"Standard_E64ads_v6",64,512,"x64",0,"","","4.6460"
"Standard_E64-32ads_v7",32,512,"x64",0,"","","4.6460"
"Standard_E64-16ads_v7",16,512,"x64",0,"","","4.6460"
"Standard_E64ds_v5",64,512,"x64",0,"","","4.6080"
"Standard_E64ds_v4",64,504,"x64",0,"","","4.6080"
"Standard_E64d_v5",64,512,"x64",0,"","","4.6080"
"Standard_E64d_v4",64,504,"x64",0,"","","4.6080"
"Standard_E64-32ds_v5",32,512,"x64",0,"","","4.6080"
"Standard_E64-32ds_v4",32,504,"x64",0,"","","4.6080"
"Standard_E64-16ds_v5",16,512,"x64",0,"","","4.6080"
"Standard_E64-16ds_v4",16,504,"x64",0,"","","4.6080"
"Standard_DC48s_v3",48,384,"x64",0,"","","4.6080"
"Standard_D96s_v5",96,384,"x64",0,"","","4.6080"
"Standard_D96lds_v5",96,192,"x64",0,"","","4.6080"
"Standard_D96as_v4",96,384,"x64",0,"","","4.6080"
"Standard_D96a_v4",96,384,"x64",0,"","","4.6080"
"Standard_D96_v5",96,384,"x64",0,"","","4.6080"
"Standard_F64alds_v7",64,128,"x64",0,"","","4.5790"
"Standard_D96alds_v7",96,192,"x64",0,"","","4.5700"
"Standard_D96alds_v6",96,192,"x64",0,"","","4.5700"
"Standard_NV48s_v3",48,448,"x64",4,"NVIDIA Tesla M60 (16GB)",16,"4.5600"
"Standard_NV36adms_A10_v5",36,880,"x64",1,"NVIDIA A10",24,"4.5200"
"Standard_D64nlds_v6",64,128,"x64",0,"","","4.4820"
"Standard_FX48mds",48,1008,"x64",0,"","","4.4640"
"Standard_D64ns_v6",64,256,"x64",0,"","","4.4550"
"Standard_D64lds_v7",64,128,"x64",0,"","","4.4350"
"Standard_M48bds_v3",48,384,"x64",0,"","","4.3900"
"Standard_FX32mds_v2",32,672,"x64",0,"","","4.3770"
"Standard_FX32-8mds_v2",8,672,"x64",0,"","","4.3770"
"Standard_FX32-16mds_v2",16,672,"x64",0,"","","4.3770"
"Standard_F64as_v7",64,256,"x64",0,"","","4.3710"
"Standard_F64as_v6",64,256,"x64",0,"","","4.3710"
"Standard_DC96as_v6",96,384,"x64",0,"","","4.3580"
"Standard_D96as_v7",96,384,"x64",0,"","","4.3580"
"Standard_D96as_v6",96,384,"x64",0,"","","4.3580"
"Standard_NC64as_T4_v3",64,440,"x64",4,"NVIDIA T4",16,"4.3520"
"Standard_F48ams_v7",48,384,"x64",0,"","","4.2960"
"Standard_F48ams_v6",48,384,"x64",0,"","","4.2960"
"Standard_D96ls_v6",96,192,"x64",0,"","","4.2840"
"Standard_EC64es_v6",64,512,"x64",0,"","","4.2340"
"Standard_E64s_v6",64,512,"x64",0,"","","4.2340"
"Standard_E64-32s_v6",32,512,"x64",0,"","","4.2340"
"Standard_E64-16s_v6",16,512,"x64",0,"","","4.2340"
"Standard_D64s_v7",64,256,"x64",0,"","","4.2340"
"Standard_EC64ads_v5",64,512,"x64",0,"","","4.1920"
"Standard_EC64ads_cc_v5",64,512,"x64",0,"","","4.1920"
"Standard_E64-32ads_v5",32,512,"x64",0,"","","4.1920"
"Standard_E48ns_v6",48,384,"x64",0,"","","4.1840"
"Standard_M48bs_v3",48,384,"x64",0,"","","4.1800"
"Standard_L48s_v4",48,384,"x64",0,"","","4.1760"
"Standard_L48s_v3",48,384,"x64",0,"","","4.1760"
"Standard_E48s_v7",48,384,"x64",0,"","","4.1680"
"Standard_L48as_v4",48,384,"x64",0,"","","4.1280"
"Standard_DC96as_v5",96,384,"x64",0,"","","4.1280"
"Standard_DC96as_cc_v5",96,384,"x64",0,"","","4.1280"
"Standard_D96as_v5",96,384,"x64",0,"","","4.1280"
"Standard_F48ads_v7",48,192,"x64",0,"","","4.1160"
"Standard_D96ls_v5",96,192,"x64",0,"","","4.0800"
"Standard_E64s_v5",64,512,"x64",0,"","","4.0320"
"Standard_E64s_v4",64,504,"x64",0,"","","4.0320"
"Standard_E64as_v4",64,512,"x64",0,"","","4.0320"
"Standard_E64a_v4",64,512,"x64",0,"","","4.0320"
"Standard_E64-32s_v5",32,512,"x64",0,"","","4.0320"
"Standard_E64-32as_v4",32,512,"x64",0,"","","4.0320"
"Standard_E64-16s_v5",16,512,"x64",0,"","","4.0320"
"Standard_E64-16s_v4",16,504,"x64",0,"","","4.0320"
"Standard_E64-16as_v4",16,512,"x64",0,"","","4.0320"
"Standard_E64_v5",64,512,"x64",0,"","","4.0320"
"Standard_E64_v4",64,504,"x64",0,"","","4.0320"
"Standard_E48bds_v5",48,384,"x64",0,"","","4.0080"
"Standard_DC64eds_v6",64,256,"x64",0,"","","3.9870"
"Standard_D64ds_v6",64,256,"x64",0,"","","3.9870"
"Standard_EC48eds_v6",48,384,"x64",0,"","","3.9240"
"Standard_E48ds_v6",48,384,"x64",0,"","","3.9240"
"Standard_D48ds_v7",48,192,"x64",0,"","","3.9160"
"Standard_F64als_v7",64,128,"x64",0,"","","3.8720"
"Standard_F64als_v6",64,128,"x64",0,"","","3.8720"
"Standard_D96als_v7",96,192,"x64",0,"","","3.8590"
"Standard_D96als_v6",96,192,"x64",0,"","","3.8590"
"Standard_D48nds_v6",48,192,"x64",0,"","","3.8190"
"Standard_EC64as_v6",64,512,"x64",0,"","","3.8140"
"Standard_E64as_v7",64,512,"x64",0,"","","3.8140"
"Standard_E64as_v6",64,512,"x64",0,"","","3.8140"
"Standard_E64-32as_v7",32,512,"x64",0,"","","3.8140"
"Standard_E64-16as_v7",16,512,"x64",0,"","","3.8140"
"Standard_D64ls_v7",64,128,"x64",0,"","","3.7480"
"Standard_L48s_v2",48,384,"x64",0,"","","3.7440"
"Standard_L48as_v3",48,384,"x64",0,"","","3.7440"
"Standard_NC24ads_A100_v4",24,220,"x64",1,"NVIDIA A100",80,"3.6730"
"Standard_DC64ads_v6",64,256,"x64",0,"","","3.6480"
"Standard_D64ads_v7",64,256,"x64",0,"","","3.6480"
"Standard_D64ads_v6",64,256,"x64",0,"","","3.6480"
"Standard_E64s_v3",64,432,"x64",0,"","","3.6290"
"Standard_E64-32s_v3",32,432,"x64",0,"","","3.6290"
"Standard_E64-16s_v3",16,432,"x64",0,"","","3.6290"
"Standard_E64_v3",64,432,"x64",0,"","","3.6290"
"Standard_D64nls_v6",64,128,"x64",0,"","","3.6290"
"Standard_EC64as_v5",64,512,"x64",0,"","","3.6160"
"Standard_EC64as_cc_v5",64,512,"x64",0,"","","3.6160"
"Standard_E64-16as_v5",16,512,"x64",0,"","","3.6160"
"Standard_DC32ds_v3",32,256,"x64",0,"","","3.6160"
"Standard_D64ds_v5",64,256,"x64",0,"","","3.6160"
"Standard_D64ds_v4",64,256,"x64",0,"","","3.6160"
